"actor","type","actor_id","ideo"
"RepDougCollins","Politician","1060487274","1.7828954489232771"
"StephenGutowski","Journalist","11783502","1.8907707462739736"
"Judgenap","Journalist","29216764","1.7199681921353716"
"DLoesch","Journalist","7702542","3.023461368456283"
"LindseyGrahamSC","Politician","432895323","2.002241886869693"
"amandacarpenter","Journalist","14844867","1.1194623702164963"
"theblaze","Media","10774652","1.4520778703811428"
"GOP","Politician","11134252","2.390592957332199"
"BuckSexton","Journalist","334715818","2.1424797734255976"
"seanmdav","Journalist","36529101","3.305735063190604"
"EWErickson","Journalist","640893","2.0040398084922044"
"Mediaite","Media","29465136","0.6753757294561306"
"JonMorris2019","Politician","22516671","1.556357324486816"
"RepCummings","Politician","787373558","-0.315279084547762"
"KatiePavlich","Journalist","48459553","2.0741587517701574"
"SecPompeo","Politician","988573326376427520","1.3136379054477494"
"RepLeeZeldin","Politician","2750127259","1.5078134406790025"
"RMConservative","Journalist","252398355","3.2248285901775824"
"AnnCoulter","Journalist","196168350","1.8134601165059747"
"SteveScalise","Politician","1209417007","2.4391368411400123"
"RealDrGina","Journalist","20118767","2.259344678888852"
"glennbeck","Journalist","17454769","1.7505328597180685"
"RepMarkMeadows","Politician","963480595","2.2935051897165724"
"MZHemingway","Journalist","18005085","1.2471148054148202"
"Heminator","Journalist","14347972","1.8242476462410444"
"ChadPergram","Journalist","16187637","1.013384994488312"
"ReaganWorld","Journalist","93241358","2.0220190247173204"
"markknoller","Journalist","31127446","0.7023445537938047"
"DanJoseph78","Journalist","17971747","2.13349016531304"
"TwitchyTeam","Media","469194846","3.0396426630588875"
"stillgray","Journalist","16106584","2.484084881702802"
"Bmac0507","Journalist","421151092","2.426551389782431"
"GovMikeHuckabee","Journalist","15416505","2.2773238951139683"
"bdomenech","Journalist","14989516","2.588364335808476"
"JuddLegum","Journalist","15464697","-0.130093157429067"
"adamhousley","Journalist","16073043","2.13349016531304"
"GiannaToboni","Journalist","192682116","-0.2092017088195776"
"sarayasin","Journalist","18385356","-0.7575678036856159"
"LilianaSegura","Journalist","28339843","-0.3584292034880405"
"fivefifths","Journalist","36252186","-0.7270031361029187"
"AdamWeinstein","Journalist","20725994","-0.4986670900439453"
"melissagira","Journalist","76093","-1.4371821769950015"
"BillOReilly","Journalist","23970102","2.8616484224302385"
"NRCC","Politician","5496932","2.77355026292717"
"dccc","Politician","14676022","-0.3584292034880405"
"GreggJarrett","Journalist","21536398","1.0799080945212411"
"marcorubio","Politician","15745368","3.2140410604425127"
"EpochTimes","Media","29097819","2.985705014383539"
"AliRogin","Journalist","49620730","0.8911263241575229"
"TeamCavuto","Journalist","223970563","1.8332372543536024"
"cvpayne","Journalist","19400611","2.137086008558063"
"SenTedCruz","Politician","1074480192","2.126298478822993"
"mkraju","Journalist","39155029","0.5782879618405042"
"ChuckRossDC","Journalist","119837703","0.5189565482976213"
"replouiegohmert","Politician","22055226","2.7753481845496815"
"feliciasonmez","Journalist","137466464","0.5045731753175284"
"rebeccaballhaus","Journalist","705706292","0.565702510482923"
"nicopitney","Journalist","14129299","-0.009632408720789559"
"ByronYork","Journalist","47739450","1.2255397459446808"
"DailyCaller","Media","39308549","1.1374415864416123"
"dscc","Politician","14466538","-0.6101382306396648"
"HeyTammyBruce","Journalist","22956220","2.3474428383919204"
"DailySignal","Media","2361224263","1.121260291839008"
"ShannonBream","Journalist","18983793","1.9716772192869958"
"dcexaminer","Media","18956073","1.3136379054477494"
"Forbes","Media","91478624","-0.15166821689920626"
"USATODAY","Media","15754281","-0.3728125764681333"
"EliteDaily","Media","331057915","-0.43034606838850453"
"RobinRoberts","Journalist","267921808","-0.7000343117652448"
"ABC","Media","28785486","0.04250731833204675"
"drvox","Journalist","22737278","0.21330987247064895"
"owillis","Journalist","3497941","-0.5795735630569675"
"CharlesMBlow","Journalist","20772763","0.1324033994576269"
"shane_bauer","Journalist","415985101","-0.011430330343301164"
"benjaminwittes","Journalist","186667011","-0.4734961873287829"
"bethreinhard","Journalist","34022952","0.3050038752187407"
"NickKristof","Journalist","17004618","-0.4357398332560394"
"RepJayapal","Politician","815733290955112448","-0.5076566981565034"
"RepLoisFrankel","Politician","1077121945","-0.3260666142828316"
"BarackObama","Politician","813286","-0.6029465441496183"
"voxdotcom","Media","2347049341","-0.658682114447478"
"imillhiser","Journalist","26165922","-0.1318910790515786"
"MotherJones","Media","18510860","-1.47471"
"Shakestweetz","Journalist","193365375","-1.4731406094452335"
"MEPFuller","Journalist","398088661","0.9900120133956608"
"mjs_DC","Journalist","88215673","-1.0632144795125884"
"irin","Journalist","20800328","-0.315279084547762"
"rtraister","Journalist","19086859","-1.1944627579559353"
"JRubinBlogger","Journalist","218975278","-0.2811185737200415"
"sahilkapur","Journalist","19847765","-0.06177213577362607"
"NoahShachtman","Journalist","15728161","-0.09233680335632333"
"NatashaBertrand","Journalist","372536101","0.33197269955641473"
"RonWyden","Politician","250188760","-0.1732432763693455"
"politico","Media","9300262","0.9360743647203128"
"AnnieLinskey","Journalist","37965812","0.1935327346230213"
"TheAtlantic","Media","35773039","-0.428548146765993"
"stevebenen","Journalist","27511061","-1.1872710714658887"
"juliettekayyem","Journalist","21461359","-0.8330805118311032"
"kyledcheney","Journalist","23578274","1.57253861908942"
"cspan","Media","15675138","1.0870997810112877"
"thenation","Media","1947301","-0.3206728494152968"
"VOANews","Media","16273831","-0.2199892385546472"
"lachlan","Journalist","15742985","1.1590166459117517"
"dabeard","Journalist","28279637","-1.2573900147438413"
"jackiekcalmes","Journalist","146167871","0.13420132108013852"
"ellievhall","Journalist","15688781","-0.4087710089183654"
"RepBrendanBoyle","Politician","231108733","-0.4968691684214338"
"Newsweek","Media","2884771","-0.3368541440179012"
"PolitiFact","Media","8953122","1.1428353513091472"
"DefenseBaron","Journalist","19038768","0.22769324545074185"
"ditzkoff","Journalist","81482674","0.3877082698542744"
"mmfa","Media","13493302","-0.2613414358724139"
"DavidAFrench","Journalist","240107748","1.2902649243550983"
"conor64","Journalist","14046504","0.4488376050196689"
"garyyounge","Journalist","149272318","-0.12110354931650898"
"moorehn","Journalist","17698956","-0.2181913169321356"
"mattdpearce","Journalist","69004966","-0.5813714846794791"
"MonaChalabi","Journalist","491631309","-0.24336221964729784"
"NaomiAKlein","Journalist","189376144","-1.3185193499092358"
"Eugene_Robinson","Journalist","59031230","0.2240974022057186"
"thedailybeast","Media","16012783","0.21330987247064895"
"maggieNYT","Journalist","93069110","0.6070547078006898"
"MarkWarner","Politician","7429102","0.028123945351953915"
"JohnJHarwood","Journalist","259395895","0.5351378429002257"
"TheRoot","Media","23995748","-0.25774559262739066"
"Milbank","Journalist","19608273","0.574692118595481"
"mike_pence","Politician","22203756","2.6944417115366592"
"MelissaTweets","Journalist","14728168","1.736149486737976"
"RepDanKildee","Politician","1045110018","-0.4411335981235743"
"AaronBlake","Journalist","136300373","0.7508884376016179"
"kimguilfoyle","Journalist","25101996","1.3046482973351914"
"JudgeJeanine","Journalist","29458079","2.016625259849786"
"WashTimes","Media","14662354","1.622880424519745"
"SenFeinstein","Politician","476256944","-0.3548333602430173"
"JohnCornyn","Politician","13218102","1.5653469325993736"
"LToddWood","Journalist","25539759","3.8630907661692016"
"brithume","Journalist","112047805","1.7019889759102556"
"Reuters","Media","1652541","-0.40697308729585374"
"GOPLeader","Politician","19739126","2.1892257356109"
"SenThomTillis","Politician","2964174789","0.8857325592899882"
"Chellaney","Journalist","19329136","0.8425824403497097"
"cocando","Journalist","19375314","1.4790466947188168"
"attn","Media","214112621","-0.6011486225271068"
"SenatorTimScott","Politician","217543151","1.71817027051286"
"RepRalphNorman","Politician","880480631108644864","2.640504062861312"
"WhipClyburn","Politician","188019606","-0.5472109738517587"
"RepJeffDuncan","Politician","240393970","2.478691116835267"
"RepJoeWilson","Politician","254082173","2.5577996682257784"
"ScottMGreer","Journalist","599817378","1.1554208026667283"
"VanityFair","Media","15279429","-0.3458437521304593"
"DanaPerino","Journalist","27311044","1.419715281175934"
"KimStrassel","Journalist","384910109","1.9033561976315547"
"dagenmcdowell","Journalist","58120509","1.7199681921353716"
"nypost","Media","17469289","0.6322256105158524"
"carolrosenberg","Journalist","32129142","0.6933549456812468"
"DavidBrodyCBN","Journalist","117082566","1.0439496620710091"
"peterbakernyt","Journalist","123327472","0.9522556593229172"
"ZekeJMiller","Journalist","21316253","0.5405316077677605"
"JesseBWatters","Journalist","56561449","1.590517835314536"
"SenRickScott","Politician","131546062","2.545214216868197"
"MarkDiStef","Journalist","37881687","0.12161586972255732"
"jorgeramosnews","Journalist","110213431","-0.8726347875263584"
"BeckyCNN","Journalist","119771348","-0.020419938455859186"
"scottlincicome","Journalist","100250921","1.736149486737976"
"JustinWolfers","Journalist","327577091","-1.0344477335524027"
"jimtankersley","Journalist","133947893","0.4110812509469252"
"tomkeene","Journalist","25709609","0.822805302502082"
"carlquintanilla","Journalist","114782468","0.222299480583207"
"mihirssharma","Journalist","4126501","-0.7000343117652448"
"stevekovach","Journalist","17198424","0.35354775902655394"
"Neil_Irwin","Journalist","156016878","-0.1318910790515786"
"BDUTT","Journalist","19929890","-0.3260666142828316"
"StevenTDennis","Journalist","46557945","1.0007995431307306"
"HashtagGriswold","Journalist","1536600704","0.9702348755480334"
"matthewjdowd","Journalist","288363743","-0.9571371037844042"
"SRuhle","Journalist","382685028","0.011942650749349484"
"meghara","Journalist","13670232","0.2744392076360435"
"mikiebarb","Journalist","282545479","0.903711775515104"
"FreeBeacon","Media","455764741","0.8623595781973373"
"josh_hammer","Journalist","38813274","2.404976330312292"
"ericbradner","Journalist","54322823","0.2780350508810666"
"SecretsBedard","Journalist","18029328","1.4898342244538865"
"madisongesiotto","Journalist","2175836343","1.3801610054806783"
"michaelbd","Journalist","9840002","1.3154358270702609"
"johnhawkinsrwn","Journalist","15485532","3.5736253849448327"
"charlescwcooke","Journalist","233484761","1.428704889288492"
"RichardGrenell","Journalist","90480218","1.7055848191552787"
"BretBaier","Journalist","18646108","1.0061933079982657"
"marcthiessen","Journalist","27245742","1.5096113623015142"
"RepSpeier","Politician","24913074","0.21690571571567216"
"ira","Journalist","20926233","-1.3958299796772349"
"GeeDee215","Journalist","87359651","-1.6870932825241145"
"DouthatNYT","Journalist","546135718","0.3679311320066468"
"ashleyfeinberg","Journalist","165944767","0.32298309144385673"
"dstfelix","Journalist","85553575","-1.0236602038173332"
"KateAurthur","Journalist","21630311","-0.29190610345511114"
"samsanders","Journalist","16442379","-0.6604800360699896"
"sppeoples","Journalist","87498687","0.9414681295878476"
"CecileRichards","Journalist","17011177","-1.1513126390156567"
"OliviaMesser","Journalist","293065451","0.7113341619063626"
"NYMag","Media","45564482","-0.09952848984636972"
"CynthiaMcFadden","Journalist","20166674","-0.41955853865343495"
"AllenWest","Journalist","237403203","2.4391368411400123"
"AmbJohnBolton","Journalist","118756393","2.419359703292385"
"HeerJeet","Journalist","604940737","-0.6856509387851519"
"NPR","Media","5392522","1.5437718731292345"
"sarahljaffe","Journalist","15275677","-1.4102133526573275"
